brand,model,review_text,rating,sentiment,review_date,signal_promotional_language,signal_gift_incentive,signal_hollow_generic,signal_platform_addressed,signal_robotic_repetition,signal_spam_contact,signal_rating_sentiment_mismatch,signal_imperative_push,signal_competitor_troll,risk_score,review_label
Apple,iPhone XR,Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,1,Negative,11/17/2018,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,5,Positive,1/27/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,"So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",1,Neutral,5/2/2019,0,0,0,1,1,0,0,0,0,25,Fake
Apple,iPhone XR,"I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",5,Positive,5/24/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,1,Negative,4/22/2019,0,0,0,0,1,0,0,0,0,10,Real
Apple,iPhone XR,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",5,Positive,12/7/2018,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,The phone is hanging. Video quality is not very good.,1,Negative,11/25/2018,0,0,0,0,0,0,1,0,0,15,Fake
Apple,iPhone XR,I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,4,Positive,4/27/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,1,Positive,4/21/2019,1,0,0,0,0,0,1,0,0,30,Fake
Apple,iPhone XR,Best mobile  and my favourite Where nice XR Amazing futures and best camera so thanks for  Amazon,5,Positive,1/27/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,"Don't buy Apple products from Amazon. I got a defective product which is not activating. During first charging the iPhone started heating like anything. Since there was a 10 days replacement policy, so I asked Amazon to replace it as the product is defective. But very poor customer service from Amazon. They didn't change the iPhone rather told me to visit service centre. Now I am with a defective product which is not operating.",1,Negative,7/21/2019,0,0,0,0,1,0,0,0,0,10,Real
Apple,iPhone XR,Face recognition is slower some times. I have no complaints about it. I am die hard fan of XR. I was eagerly waiting for dual sim iPhone. It’s heavy but looks are so attractive that you will be ready to carry that little extra weight. I am using it since two months. Don’t watch any reviews. Just buy it and enjoy. Yes it’s expensive. Sometimes rather many times money is not worth than happiness.,5,Positive,4/4/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,"Great Phone, I am happy with the phone so far.",5,Positive,4/12/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,"There are lots of reviews on net for XR, I would give just quick points based on my experience of XR 128 GB.",5,Positive,6/4/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,Don’t buy this phone only waste of money it hang’s many time.,2,Neutral,11/27/2018,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,STEVE JOBS GONE i phone gone !!!!!!,1,Neutral,9/24/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,Single SIM is working fine but if you are using E-sim in this phone. Not good quality for dual sim. Many times Number showing switched off.,3,Positive,12/9/2018,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,It is not supporting any type of sim.. the network gets disconnected after sometime only,1,Neutral,1/1/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,"i always was unhappy with the size of my previous iPhones (iPhone 7 and 5s), I badly needed an upgrade and but don’t have the budget of 1lakh so I took my chances with XR and I am very happy with my purchase.",5,Negative,6/6/2019,0,0,0,0,0,0,1,0,0,15,Fake
Apple,iPhone XR,This is a product which lets down the whole high end feel of an iPhone. Apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market. The premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera. Overall a cheap buy for an apple lover but for a first time user the phone is totally let down.,3,Positive,2/6/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,Im facing some speaker related issues and had given my handset XR 64 Gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty,1,Negative,7/13/2019,0,0,0,0,0,0,0,0,0,0,Real
Apple,iPhone XR,All in all an amazing product yet again from Apple. I know many people are confused wheather to go for an apple X or Xr. Well to be frank i suggest XR purely because of the fact that XR will have 1yr more support from Apple in respect to X.  Other than that the dual camera of X and single camera of XR have the same quality. As far as speed goes both are same. Xr is dual sim but you gotta understand you can insert just 1 sim. The 2nd sim is an eSim which needs to be activated by Telecom service providers. Theres not much difference in display as well. All in all XR rules,5,Positive,4/24/2019,0,0,0,0,0,0,0,0,0,0,Real
